name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g,category,LLM friendly name,gpt_completion,gpt_energy_kcal_100g,gpt_proteins_100g,gpt_fat_100g,gpt_carbohydrates_100g
Red Kidney Beans,Freshona,20166090,117.0,15.0,1.0,8.4,7.0,2.0,0.5,0.1,0.2,Raw Ingredients,Red Kidney Beans (canned),"<scratchpad>
Red kidney beans are a legume known for their high protein and fiber content. Since these beans are canned, they may contain some added salt or preservatives but will still largely retain their nutritional profile. Canned beans are typically cooked and ready to eat, which slightly alters their macro-nutrient content compared to raw beans.

Typical nutritional profile per 100 grams for canned red kidney beans:
- Calories: These beans are rich in complex carbohydrates, with moderate protein and very little fat.
- Protein: As legumes, they offer a good amount of plant-based protein.
- Fat: They contain negligible fat.
- Carbohydrates: They are high in carbohydrates, primarily from fiber and starch.

Estimated nutrition per 100 grams:
- Calories: approximately 110 kcal
- Protein: around 8 grams
- Fat: around 0.5 grams
- Carbohydrates: around 20 grams
</scratchpad>

<calories>110</calories>
<protein>8</protein>
<fat>0.5</fat>
<carbohydrates>20</carbohydrates>",110.0,8.0,0.5,20.0
Whole milk,Tesco,5000436589341,33.0,2.35,1.85,1.75,,2.35,0.055,1.2,0.022,Minimally Processed Foods,Whole milk,"<scratchpad>
Whole milk is a commonly consumed dairy product. It typically contains:
- Calories: Milk contains a balanced mix of macronutrients contributing to its caloric content.
- Protein: Milk is a good source of protein, including casein and whey.
- Fat: Whole milk contains all the natural fat, generally around 3.25% to 3.5%.
- Carbohydrates: The primary carbohydrate in milk is lactose.
</scratchpad>

<calories>61</calories>
<protein>3.2</protein>
<fat>3.3</fat>
<carbohydrates>4.8</carbohydrates>",61.0,3.2,3.3,4.8
Extra Light Skim Milk,Devondale,9300639400013,33.7,4.92,0.12,3.2,,4.92,0.013,0.12,0.0052,Minimally Processed Foods,Extra Light Skim Milk,"<scratchpad>
Extra Light Skim Milk is a dairy product that usually contains very low levels of fat. Due to skimming, most of the fat is removed, resulting in lower calorie content compared to whole milk. Protein and carbohydrate levels should remain fairly similar to regular skim milk but still slightly lower, as this is ""extra light.""
</scratchpad>

<calories>30</calories>
<protein>3</protein>
<fat>0.1</fat>
<carbohydrates>4.5</carbohydrates>",30.0,3.0,0.1,4.5
5% Greek Yogurt,Fage,5201054017432,93.0,3.0,5.0,9.0,,3.0,0.1,3.6,0.04,Minimally Processed Foods,5% Greek Yogurt,"<scratchpad>
5% Greek Yogurt is a type of yogurt that generally contains around 5% milk fat. Greek yogurt is known to be thicker and have a higher protein content compared to regular yogurt. 

Typical nutritional values for a 5% Greek Yogurt per 100 grams might look like this:
- Calories: Around 90-100 kcal (since fat contributes 9 kcal per gram and there are 5 grams of fat)
- Protein: Greek yogurt is high in protein, typically around 10 grams.
- Fat: 5 grams of fat due to the 5% fat content.
- Carbohydrates: Carbohydrate content varies, but it’s generally around 4 grams.

</scratchpad>

<calories>97</calories>
<protein>10</protein>
<fat>5</fat>
<carbohydrates>4</carbohydrates>",97.0,10.0,5.0,4.0
Mozarella 125g,Leader Price,3263859406820,228.0,0.8,12.0,18.0,,0.8,0.4,12.0,0.16,Minimally Processed Foods,Mozarella,"<scratchpad>
Mozarella is a type of cheese known for its use in Italian dishes like pizza and caprese salad. It's made from cow or buffalo milk and has a semi-soft texture. Given that it’s a cheese, it will have moderate-fat content, some protein, and low to moderate carbohydrates.

Typical nutritional content for Mozarella cheese per 100 grams:
- Calories: Cheese is energy-dense, so around 280-300 kcal per 100 grams.
- Protein: As a dairy product, it tends to have a good amount of protein, likely around 22-25 grams.
- Fat: Mozarella is medium-fat cheese, expected to have around 20-22 grams.
- Carbohydrates: Cheese is generally low in carbs, around 2-3 grams.
</scratchpad>

<calories>280</calories>
<protein>22</protein>
<fat>20</fat>
<carbohydrates>2</carbohydrates>",280.0,22.0,20.0,2.0
cottage cheese,Hacendado,8480000609632,99.0,1.7,4.0,14.0,,1.7,0.82,2.6,0.328,Minimally Processed Foods,Cottage cheese,"<scratchpad>
Cottage cheese is a dairy product known for its creamy texture and high protein content. It is often used in various dishes or consumed on its own. The content can vary slightly depending on whether it's low-fat or full-fat, but generally, it has:

- Relatively low calories
- High protein
- Moderate fat (especially if full-fat)
- Low carbohydrates

For a standard cottage cheese:

- Calories: approximately 98 kcal per 100 grams
- Protein: around 11 grams per 100 grams
- Fat: about 4.3 grams per 100 grams
- Carbohydrates: roughly 3.4 grams per 100 grams
</scratchpad>

<calories>98</calories>
<protein>11</protein>
<fat>4.3</fat>
<carbohydrates>3.4</carbohydrates>",98.0,11.0,4.3,3.4
Spreadable Slightly Salted,Lurpak,5740900404465,679.0,0.6,75.0,0.5,,0.6,0.885,35.0,0.354,Minimally Processed Foods,Spreadable Slightly Salted (Lurpak),"<scratchpad>
Lurpak Slightly Salted is a type of butter. Since it's slightly salted, the salt content is a bit higher than in unsalted butter but it doesn't affect the macronutrient profile significantly.
Typically, butter is high in fat and contains small amounts of protein and carbohydrates.

Estimates for butter per 100 grams:
- Calories: Around 717 kcal
- Protein: About 0.85 grams
- Fat: Approximately 81 grams
- Carbohydrates: Roughly 0.06 grams

Given it is a spreadable variant, there might be slight differences but largely, these values should be a good approximation.
</scratchpad>

<calories>717</calories>
<protein>0.85</protein>
<fat>81</fat>
<carbohydrates>0.06</carbohydrates>",717.0,0.85,81.0,0.06
6 œufs frais BIO,Ovalis,20057251,140.0,0.5,9.8,13.0,,0.5,0.31,2.6,0.124,Minimally Processed Foods,Fresh organic eggs,"<scratchpad>
Fresh organic eggs are a common food item known for their high nutritional value. They are commonly used in a variety of dishes and are rich in protein. Eggs also contain significant amounts of fat, especially in the yolk, while the carbohydrate content is relatively low. In general, eggs are nutrient-dense.

Here is the typical nutritional content per 100 grams for eggs:

- Calories: Eggs generally have around 150 calories per 100 grams.
- Protein: Eggs are an excellent source of protein, typically offering about 13 grams.
- Fat: The fat content in eggs is around 10 grams per 100 grams, largely due to the yolk.
- Carbohydrates: Eggs have a very low carbohydrate content, usually less than 1 gram.

Given that these are fresh organic eggs, the nutritional content should be very close to regular eggs with perhaps slight variations due to organic farming methods, but the difference would be minimal.
</scratchpad>

<calories>150</calories>
<protein>13</protein>
<fat>10</fat>
<carbohydrates>1</carbohydrates>",150.0,13.0,10.0,1.0
Blanc de Poulet Nature Sans Nitrite,"Fleury Michon,",3302740059186,100.0,0.5,1.6,21.0,,0.5,1.5,0.4,0.6,Minimally Processed Foods,Natural Chicken Breast,"<scratchpad>
Natural Chicken Breast:
- Generally low in fat, particularly if skinless
- High in protein
- Low in carbohydrates
- Commonly used in healthy diets

Estimated nutritional values (per 100 grams):
- Calories: 165 kcal
- Protein: 31 grams
- Fat: 3.6 grams
- Carbohydrates: 0 grams
</scratchpad>

<calories>165</calories>
<protein>31</protein>
<fat>3.6</fat>
<carbohydrates>0</carbohydrates>",165.0,31.0,3.6,0.0
Pechuga de pavo,"Realvalle,Lidl",4056489320180,99.0,1.3,3.3,16.0,,0.5,1.8,1.1,0.72,Minimally Processed Foods,Turkey Breast,"<scratchpad>
Turkey breast is a lean meat known for its high protein content and relatively low fat content. It is often considered a healthy choice for those looking to consume lean protein. Turkey breast is also low in carbohydrates.
</scratchpad>

<calories>135</calories>
<protein>30</protein>
<fat>1</fat>
<carbohydrates>0</carbohydrates>",135.0,30.0,1.0,0.0
Smoked Tofu,The Tofoo Co.,5034467000223,146.0,1.9,7.7,16.9,0.8,0.1,,1.2,,Minimally Processed Foods,Smoked Tofu,"<scratchpad>
Smoked Tofu is a plant-based protein product made from soybeans, water, and often additional seasoning and smoke flavoring. Tofu itself is high in protein, relatively low in fat, and has a moderate amount of carbohydrates. The smoking process might slightly alter its nutritional profile but not significantly. I will base my estimates on regular tofu nutritional values and account for any minor changes due to the smoking process.
</scratchpad>

<calories>140</calories>
<protein>15</protein>
<fat>8</fat>
<carbohydrates>3</carbohydrates>",140.0,15.0,8.0,3.0
Tempeh,The Tofoo Company,5034467000872,208.0,1.8,10.9,21.3,6.1,0.5,0.01,2.9,0.004,Minimally Processed Foods,Tempeh,"<scratchpad>
Tempeh is a traditional Indonesian food made from fermented soybeans. It is known for its high protein content and is often used as a meat substitute in vegetarian and vegan diets. Typically, tempeh is rich in protein, moderate in fat, and low to moderate in carbohydrates, with a good amount of dietary fiber. Given its composition from soybeans, it would also contain various vitamins and minerals but, for this task, the focus remains on macronutrients.
</scratchpad>

<calories>193</calories>
<protein>19</protein>
<fat>11</fat>
<carbohydrates>9</carbohydrates>",193.0,19.0,11.0,9.0
Seitan veggie,bjorg,3229820796642,132.0,10.0,1.7,18.0,2.2,0.8,0.72,0.3,0.288,Minimally Processed Foods,Seitan,"<scratchpad>
Seitan is a popular meat substitute made from gluten, the main protein in wheat. It has a high protein content and is generally low in fat and carbohydrates because it is made primarily from wheat gluten with water and sometimes other flavoring ingredients. 

Typical nutritional content per 100 grams:
- Calories: Around 120-150 kcal
- Protein: 20-25 grams, as it is made almost entirely of gluten
- Fat: Very low, typically around 1-2 grams
- Carbohydrates: Low, around 5-8 grams, since the starch is usually washed away in its preparation
</scratchpad>

<calories>140</calories>
<protein>25</protein>
<fat>2</fat>
<carbohydrates>8</carbohydrates>",140.0,25.0,2.0,8.0
100% Whole Wheat Bread,Nature's Own,72250037129,231.0,46.2,1.92,11.5,7.69,3.85,1.16,,0.462,Basic Processed Foods,100% Whole Wheat Bread,"<scratchpad>
100% Whole Wheat Bread is a common type of bread made with whole wheat flour which retains the entire grain, making it more nutritious than white bread. It is typically rich in carbohydrates and contains moderate amounts of protein and fat. It also has dietary fiber, and it's often considered a healthier choice owing to its complex carbohydrates and higher nutrients content compared to refined white bread.
</scratchpad>

<calories>250</calories>
<protein>13</protein>
<fat>4</fat>
<carbohydrates>42</carbohydrates>",250.0,13.0,4.0,42.0
White Sourdough Bread,Jason’s,5025125000112,236.8,46.016,0.6976,9.728,3.002,2.099,0.8,0.1,0.32,Basic Processed Foods,White Sourdough Bread,"<scratchpad>
White sourdough bread is a type of bread made primarily from white flour, water, salt, and naturally occurring lactobacilli and yeast. Because it's made from white flour, it has a similar nutritional profile to other white breads but with some variations due to the fermentation process. Typically, white sourdough bread would contain a moderate amount of carbohydrates, a small amount of fat, a moderate amount of protein, and a relevant calorie content.
</scratchpad>

<calories>250</calories>
<protein>9</protein>
<fat>2</fat>
<carbohydrates>49</carbohydrates>",250.0,9.0,2.0,49.0
Tortilla Wraps with whole wheat,"Snack Day,Lidl",4056489506829,289.0,46.3,6.0,9.3,6.4,2.7,1.0,1.1,0.4,Basic Processed Foods,Tortilla Wraps with whole wheat,"<scratchpad>
Tortilla wraps with whole wheat are a type of flatbread commonly used in Mexican cuisine, such as for making burritos or wraps. They are typically made from whole wheat flour, which gives them a higher fiber content compared to tortillas made from white flour. Given the whole wheat content, they are likely to have a moderate amount of protein and a relatively low fat content. Carbohydrates will be a significant component due to the flour. Here’s an approximate nutritional profile per 100 grams:
- Calories: Moderate
- Protein: Moderate
- Fat: Low
- Carbohydrates: High
</scratchpad>

<calories>300</calories>
<protein>8</protein>
<fat>5</fat>
<carbohydrates>50</carbohydrates>",300.0,8.0,5.0,50.0
Spaghetti N.5,"Barilla,Barilla Nr. 5, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166, 43122 Parma - Italy",8076800195057,359.0,71.0,2.0,13.0,3.0,3.5,0.01,0.5,0.004,Basic Processed Foods,Spaghetti (Barilla),"<scratchpad>
Spaghetti, especially from a brand like Barilla, is a type of pasta typically made from durum wheat semolina. It's a carbohydrate-rich food with some amount of protein and negligible fat. The nutritional content can vary slightly by brand, but it's usually within a certain range. Typical values for cooked spaghetti are approximately:
Calories: 158 kcal 
Protein: 5.8 grams 
Fat: 0.9 grams 
Carbohydrates: 30.9 grams
</scratchpad>

<calories>158</calories>
<protein>5.8</protein>
<fat>0.9</fat>
<carbohydrates>30.9</carbohydrates>",158.0,5.8,0.9,30.9
Pad Thai Rice Noodles,Thai Dragon,5020580019686,351.0,80.0,1.1,5.2,0.5,2.5,0.025,0.6,0.01,Basic Processed Foods,Pad Thai Rice Noodles,"<scratchpad>
Pad Thai Rice Noodles is a popular Thai dish commonly made with rice noodles, shrimp or chicken, eggs, tofu, peanuts, bean sprouts, and a sauce made from tamarind paste, fish sauce, garlic, red chili pepper, sugar, and lime. 

For estimation, consider the nutrition of rice noodles, some cooked protein (like shrimp or chicken), bean sprouts, and a blend of sauce ingredients. Rice noodles are primarily carbs with some minor fat and protein content. The protein from shrimp or chicken adds to the total protein. The sauce might add sugar (carbohydrates) and some fat.
</scratchpad>

<calories>200</calories>
<protein>6</protein>
<fat>8</fat>
<carbohydrates>29</carbohydrates>",200.0,6.0,8.0,29.0
gehackte Tomaten,Baresa,20004132,20.0,3.0,0.2,1.3,,3.0,0.04,0.1,0.016,Basic Processed Foods,Chopped tomatoes (canned),"<scratchpad>
Chopped tomatoes (canned) are primarily composed of tomatoes and water, which suggests that they are low in calories. Tomatoes are known for being low in fat and contain some carbohydrates in the form of natural sugars and fiber. They also have a small amount of protein.

Considering that they are canned, there might be some added sodium for preservation, but this won’t affect the macronutrient breakdown much. The nutritional content of canned tomatoes is similar to fresh tomatoes, though the canning process might slightly concentrate the nutrients due to the reduction of water content.
</scratchpad>

<calories>18</calories>
<protein>1</protein>
<fat>0.2</fat>
<carbohydrates>4</carbohydrates>",18.0,1.0,0.2,4.0
Baked beans,Freshona,20009847,83.0,12.4,0.6,4.1,,5.0,0.85,0.2,0.34,Basic Processed Foods,Baked beans (canned),"<scratchpad>
Baked beans (canned) are typically made from navy beans, tomato sauce, brown sugar, and various seasonings. The beans provide a source of protein and carbohydrates, while the sauce adds additional carbohydrates from sugars and potentially some fat from added ingredients.
</scratchpad>

<calories>110</calories>
<protein>5</protein>
<fat>0.5</fat>
<carbohydrates>20</carbohydrates>",110.0,5.0,0.5,20.0
Altramuces,Hacendado,8480000331366,105.0,9.0,1.7,12.0,3.8,,3.5,0.3,1.4,Basic Processed Foods,Lupines (jarred),"<scratchpad>
Lupines are a type of legume, often found jarred in brine. When considering canned or jarred lupines, we can assume they have been cooked and preserved, which may affect their nutritional content slightly compared to fresh lupines. However, the basic composition should be similar to cooked lupines. Typically, legumes are high in protein and carbohydrates, with relatively low fat and moderate calorie content.

After researching similar legumes and considering the preservation method, a reasonable estimation of the nutritional content for jarred lupines per 100 grams would be approximately:

- Calories: Moderate, typical of legumes.
- Protein: High, due to their status as legumes.
- Fat: Low to moderate, as legumes are not usually high in fat.
- Carbohydrates: Moderate to high.
</scratchpad>

<calories>119</calories>
<protein>15.6</protein>
<fat>2.9</fat>
<carbohydrates>12.1</carbohydrates>",119.0,15.6,2.9,12.1
Ananas en tranches au sirop léger,Freshona,20253929,56.0,13.0,0.5,0.5,1.0,13.0,0.01,,0.004,Basic Processed Foods,Sliced ​​pineapple in light syrup (canned),"<scratchpad>
Sliced pineapple in light syrup (canned) is a combination of pineapple and a light syrup, usually made of water, sugar, and possibly some preservatives.

- Pineapple is fairly low in calories and has very little fat. It's composed primarily of water and carbohydrates, with a small amount of fiber and very little protein.
- Light syrup adds additional sugar, increasing the carbohydrate content but doesn’t significantly contribute to fat or protein.

Typically, canned fruit in light syrup will have higher sugar content compared to the fresh counterpart but will still be relatively low in other macronutrients.

Based on these aspects, the estimated nutritional values for 100 grams of sliced pineapple in light syrup (canned) might be around:

- Calories: 60-70
- Protein: 0.4-0.6 grams
- Fat: 0.1-0.2 grams
- Carbohydrates: 15-18 grams
</scratchpad>

<calories>65</calories>
<protein>0.5</protein>
<fat>0.1</fat>
<carbohydrates>17</carbohydrates>",65.0,0.5,0.1,17.0
Épinards Branches à la Crème,Findus,3599741006329,68.0,5.8,3.1,3.5,1.6,1.9,0.6,2.0,0.24,Basic Processed Foods,Creamy Spinach Branches (frozen) (Findus),"<scratchpad>
Creamy Spinach Branches (frozen) is a prepared frozen meal consisting primarily of spinach with a creamy sauce. Considering typical values for similar products:
- Spinach itself is low in calories, protein, fat, and carbs.
- The creamy sauce likely contains dairy or plant-based cream, contributing significant amounts of fat, some protein, and carbohydrates.

Typical estimates for similar prepared frozen meals including creamy sauces:
- Calories: Moderate due to dairy or cream.
- Protein: Low to moderate depending on cream content.
- Fat: Moderate due to cream content.
- Carbohydrates: Moderate from cream and any added starches or thickeners.
</scratchpad>

<calories>100</calories>
<protein>3</protein>
<fat>8</fat>
<carbohydrates>9</carbohydrates>",100.0,3.0,8.0,9.0
"Légumes et Céréales Cuisinés, Patates douces, Edamame, Butternut & Boulgour, crème fraîche et persil",Bonduelle,3083681105247,95.0,11.8,2.9,3.9,2.9,3.3,0.74,0.8,0.296,Basic Processed Foods,"Cooked Vegetables and Cereals, Sweet Potatoes, Edamame, Butternut and Bulgur, crème fraîche and parsley (frozen) (Bonduelle)","<scratchpad>
The given food item is a mix of cooked vegetables (sweet potatoes, edamame, butternut squash), bulgur (a type of whole grain), crème fraîche, and parsley, and it is frozen. This combination likely consists of various nutritional profiles:
- Sweet Potatoes are moderately calorie-dense and rich in carbohydrates.
- Edamame is high in protein and fiber.
- Butternut Squash is low in calories and moderately high in carbohydrates.
- Bulgur is a whole grain, rich in fiber and carbohydrates, with moderate protein levels.
- Crème Fraîche adds fat and some protein.
- Parsley is low in calories and provides some vitamins and minerals.

Considering the mixture and the ranges typical for such ingredients, the values will have to reflect the balance of vegetables, grains, and a small amount of dairy.
</scratchpad>

<calories>90</calories>
<protein>4</protein>
<fat>3</fat>
<carbohydrates>15</carbohydrates>",90.0,4.0,3.0,15.0
Peanut Butter,Mcennedy,20474478,658.0,13.1,56.1,22.8,5.9,4.7,0.6,7.6,0.24,Basic Processed Foods,Peanut Butter,"<scratchpad>
Peanut butter is a spread made from ground dry-roasted peanuts, often with added salt, sugar, and oil. It is high in protein and fat, and it contains a moderate amount of carbohydrates. Peanut butter is calorie-dense because of its fat content.
</scratchpad>

<calories>588</calories>
<protein>25</protein>
<fat>50</fat>
<carbohydrates>20</carbohydrates>",588.0,25.0,50.0,20.0
Bio Konfitüre Erdbeere,Maribel,20114671,242.0,59.0,0.1,0.3,,58.0,0.03,0.1,0.012,Basic Processed Foods,Organic Strawberry Jam,"<scratchpad>
Organic strawberry jam is a sweet spread made primarily from strawberries, sugar, and pectin. It’s a processed food item high in carbohydrates mainly due to its sugar content.

Calories: Given the high sugar content and berries, it's likely to be energy-dense.
Protein: Strawberries contain minimal protein, and added sugar or pectin contribute none.
Fat: Neither strawberries nor typical jam additives like sugar and pectin are significant sources of fats.
Carbohydrates: High due to the sugar content; strawberries themselves add some but the majority comes from added sugar.
</scratchpad>

<calories>250</calories>
<protein>0.5</protein>
<fat>0.1</fat>
<carbohydrates>60</carbohydrates>",250.0,0.5,0.1,60.0
Corn Flakes,Kellogg's,5059319014814,378.0,84.0,0.9,7.0,3.0,8.0,1.1,0.2,0.44,Moderately Processed Foods,Corn Flakes (Kellogg's),"<scratchpad>
Corn Flakes are a popular breakfast cereal made by Kellogg's. They are primarily made from milled corn, sugar, and malt flavoring. They are typically consumed with milk. Corn Flakes are generally low in fat and protein because they are mainly composed of carbohydrates.

Calories estimate: Breakfast cereals usually fall within the range of about 350-400 kcal per 100 grams.
Protein estimate: Corn-based products are generally low in protein, around 6-8 grams per 100 grams.
Fat estimate: Corn flakes are very low in fat, typically around 0.5-1.5 grams per 100 grams.
Carbohydrates estimate: The main component is carbohydrates, likely around 80-90 grams per 100 grams.
</scratchpad>

<calories>375</calories>
<protein>7</protein>
<fat>1</fat>
<carbohydrates>85</carbohydrates>",375.0,7.0,1.0,85.0
Protein-Packed Oatmeal,Kodiak,705599014147,380.0,62.0,5.0,24.0,6.0,20.0,0.85,1.0,0.34,Moderately Processed Foods,Protein-Packed Oatmeal (Kodiak),"<scratchpad>
Protein-Packed Oatmeal (Kodiak) is a specific kind of instant oatmeal known for having a higher protein content compared to regular oatmeal. These types of products often use additional protein sources like whey protein isolate or milk protein concentrate. Nutritional values can vary by brand and specific formulation, but a rough estimate would be:

- Calories: Instant oatmeal with more protein usually has a higher calorie content than regular instant oatmeal.
- Protein: Enhanced significantly due to added protein sources.
- Fat: Likely to have a moderate amount, sometimes increased slightly by the protein sources.
- Carbohydrates: Still predominantly carbohydrate-rich, considering the oats as the main component.
</scratchpad>

<calories>370</calories>
<protein>20</protein>
<fat>7</fat>
<carbohydrates>60</carbohydrates>",370.0,20.0,7.0,60.0
